feature_name,feature_version,definition,unit,depends_on_disc,depends_on_fov,depends_on_resolution,depends_on_av_heuristic,clinical_status,primary_secondary_exploratory,missingness_policy,allowed_in_classifier,validated_by_expert,source_sensitive,generation_script
density_r2c2,pvbm_v1,see density_r0c0,fraction,0,1,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
area,pvbm_v1,PVBM mask area = sum of the binary mask. Disc-independent (measured 0.0% change under every disc perturbation) but resolution dependent.,pixels,0,1,1,0,exploratory,secondary,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
tortuosity_index,pvbm_v1,"PVBM: sum(arc)/sum(chord) over all branch segments, arc computed with geometric edge weights (diagonal = sqrt(2)). Audit: median relative change <= 0.3% under every optic-disc perturbation, so it is effectively disc-robust. Correct direction (>= 1).",ratio (unitless),0,0,1,0,validated_correct,primary,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
median_tortuosity,pvbm_v1,PVBM: median(arc/chord) per segment. Audit: <= 0.3% median change under disc perturbation. This is the only tortuosity feature whose definition is verified correct against analytic arcs.,ratio (unitless),0,0,1,0,validated_correct,primary,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
overall_length,pvbm_v1,"PVBM: sum of branch arc lengths. CONFIRMED SENSITIVE: median 11% change when the disc radius is inflated, 7.8% when the measured disc replaces the fabricated one. Resolution and field-of-view dependent.",pixels,1,1,1,0,exploratory,secondary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,src/biomarker/extract_pvbm.py
median_branching_angle,pvbm_v1,"PVBM: median angle at junctions. Median 62% change under centre perturbation in the worst case, 10.4% when the measured disc is used. Geometry-definition dependent.",degrees,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,src/biomarker/extract_pvbm.py
n_startpoints,pvbm_v1,"PVBM: number of graph roots. Roots are chosen as the nearest skeleton point to the disc centre within 100 + radius pixels, where radius came from the FABRICATED disc max(8, min(H,W)//8) -- a pure function of image size. Audit: median 50% change when the measured disc replaces it, up to 400%. This is an acquisition-size feature, not a vascular one. Excluded from classifiers pending a disc-valid recomputation.",count,1,1,1,0,confirmed_defect,secondary,NaN when disc_valid = 0; never imputed from the image centre,0,0,1,src/biomarker/extract_pvbm.py
n_endpoints,pvbm_v1,"PVBM: endpoint count. Same root-selection dependency as n_startpoints. Median 12% change with the measured disc, up to 120%. Excluded pending recomputation.",count,1,1,1,0,confirmed_defect,exploratory,NaN when disc_valid = 0; never imputed from the image centre,0,0,1,src/biomarker/extract_pvbm.py
n_intersections,pvbm_v1,"PVBM: junction count. Same root-selection dependency. Median 4.5% change with the measured disc, up to 100%. Excluded pending recomputation.",count,1,1,1,0,confirmed_defect,exploratory,NaN when disc_valid = 0; never imputed from the image centre,0,0,1,src/biomarker/extract_pvbm.py
fractal_d0,pvbm_v1,"PVBM multifractal capacity dimension of the mask. Independent of the disc parameters because it is computed on the mask alone, but resolution dependent.",dimension,0,0,1,0,exploratory,secondary,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
fractal_d1,pvbm_v1,"PVBM multifractal information dimension. Disc-independent, resolution dependent.",dimension,0,0,1,0,exploratory,secondary,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
fractal_d2,pvbm_v1,"PVBM multifractal correlation dimension. Disc-independent, resolution dependent.",dimension,0,0,1,0,exploratory,secondary,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
singularity_length,pvbm_v1,"PVBM multifractal singularity length. Disc-independent, resolution dependent.",pixels,0,0,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
disc_method,clinical_v3,DETECTOR STATUS. Must never be a predictor.,category,1,0,0,0,qc_only,qc,NaN when disc_valid = 0; never imputed from the image centre,0,0,1,scripts/clinical_features_v3.py
dd_px_work,clinical_v3,Disc diameter in working pixels. QC only.,pixels,1,0,1,0,qc_only,qc,NaN when disc_valid = 0; never imputed from the image centre,0,0,1,scripts/clinical_features_v3.py
dd_over_min_side,clinical_v3,"Disc diameter / min(H,W). An acquisition-scale feature.",ratio,1,1,1,0,exploratory,secondary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
disc_cx_frac,clinical_v3,Disc centre x as a fraction of the width. A framing feature.,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
disc_cy_frac,clinical_v3,Disc centre y as a fraction of the height. A framing feature.,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
disc_centre_offset_frac,clinical_v3,Distance from the disc centre to the image centre. A framing feature; correlates with source.,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
density_ring_0_2dd,clinical_v3,Vessel fraction in the 0-2 DD ring. Depends on the disc and on how much of the ring is inside the frame; coverage must be reported.,fraction,1,1,1,0,exploratory,secondary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
coverage_ring_0_2dd,clinical_v3,Fraction of the frame inside the ring. A coverage/QC feature.,fraction,1,1,1,0,qc_only,qc,NaN when disc_valid = 0; never imputed from the image centre,0,0,1,scripts/clinical_features_v3.py
density_ring_2_3dd,clinical_v3,see density_ring_0_2dd,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
coverage_ring_2_3dd,clinical_v3,see coverage_ring_0_2dd,fraction,1,1,1,0,qc_only,qc,NaN when disc_valid = 0; never imputed from the image centre,0,0,1,scripts/clinical_features_v3.py
density_ring_3_6dd,clinical_v3,see density_ring_0_2dd,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
coverage_ring_3_6dd,clinical_v3,see coverage_ring_0_2dd,fraction,1,1,1,0,qc_only,qc,NaN when disc_valid = 0; never imputed from the image centre,0,0,1,scripts/clinical_features_v3.py
density_q_ne,clinical_v3,"Quadrant density. Quadrants are geometric (top-right etc.), NOT laterality-aware, so they are not the clinical quadrants of ICROP.",fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
density_q_nw,clinical_v3,see density_q_ne,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
density_q_sw,clinical_v3,see density_q_ne,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
density_q_se,clinical_v3,see density_q_ne,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
n_quad_above_median,clinical_v3,Number of geometric quadrants above their median.,count,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
quad_density_max,clinical_v3,see density_q_ne,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
quad_density_min,clinical_v3,see density_q_ne,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
quad_density_range,clinical_v3,see density_q_ne,fraction,1,1,1,0,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
vessel_density,clinical_v3,Vessel mask pixels / (H*W) over the full rectangular frame. Acquisition-canvas dependent (see the pvbm_v1 entry of the same name).,fraction of pixels,0,1,1,0,exploratory,secondary,not disc dependent; NaN only on extraction failure,1,0,1,scripts/clinical_features_v3.py
n_skel_px,clinical_v3,Skeleton pixel count. QC only.,count,0,1,1,0,qc_only,qc,not disc dependent; NaN only on extraction failure,0,0,1,scripts/clinical_features_v3.py
skel_density,clinical_v3,"Skeleton pixels / total pixels. Canvas dependent, like vessel_density.",fraction,0,1,1,0,exploratory,secondary,not disc dependent; NaN only on extraction failure,1,0,1,scripts/clinical_features_v3.py
width_p50_dd,clinical_v3,Median full vessel width at skeleton pixels divided by the MEASURED disc diameter. Verified scale-invariant in a synthetic 1x/2x/4x test. Requires expert agreement data before it is a validated clinical measurement.,disc diameters,1,0,1,0,requires_expert_data,primary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
width_p90_dd,clinical_v3,90th percentile width / DD. The primary calibre candidate.,disc diameters,1,0,1,0,requires_expert_data,primary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
width_p95_dd,clinical_v3,95th percentile width / DD.,disc diameters,1,0,1,0,requires_expert_data,secondary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
width_mean_dd,clinical_v3,Mean width / DD.,disc diameters,1,0,1,0,requires_expert_data,secondary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
width_shape_p90_over_p50,clinical_v3,width_p90_px / width_p50_px. Scale-free by construction.,ratio,0,0,0,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,0,scripts/clinical_features_v3.py
n_skel_ann_px,clinical_v3,Skeleton pixels inside the annulus. QC and coverage check.,count,1,0,1,0,qc_only,qc,NaN when disc_valid = 0; never imputed from the image centre,0,0,1,scripts/clinical_features_v3.py
width_ann_p50_dd,clinical_v3,Width / DD restricted to the 0.5-2.0 DD peripapillary zone.,disc diameters,1,0,1,0,requires_expert_data,secondary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
width_ann_p90_dd,clinical_v3,see width_ann_p50_dd,disc diameters,1,0,1,0,requires_expert_data,secondary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
width_ann_mean_dd,clinical_v3,see width_ann_p50_dd,disc diameters,1,0,1,0,requires_expert_data,secondary,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
n_branches,clinical_v3,Junction-free skeleton segments. Resolution dependent.,count,0,0,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,scripts/clinical_features_v3.py
tort_median,clinical_v3,"clinical_v3 tortuosity: skeleton pixel count / convex-hull chord. CONFIRMED BUG: orientation dependent (1.005 at 0 deg, 0.712 at 45 deg for the same straight vessel). Superseded by branch_tortuosity() in geometry_core. Never consumed by Branch A or C.",ratio,0,0,1,0,confirmed_defect,exploratory,not disc dependent; NaN only on extraction failure,0,0,1,scripts/clinical_features_v3.py
tort_p90,clinical_v3,see tort_median; same defect.,ratio,0,0,1,0,confirmed_defect,exploratory,not disc dependent; NaN only on extraction failure,0,0,1,scripts/clinical_features_v3.py
tort_top3_mean,clinical_v3,see tort_median; same defect.,ratio,0,0,1,0,confirmed_defect,exploratory,not disc dependent; NaN only on extraction failure,0,0,1,scripts/clinical_features_v3.py
a_frac,clinical_v3,Length-weighted fraction of skeleton assigned to the arterial class by an unsupervised green-intensity split. Exploratory until expert A/V labels exist.,fraction,0,0,1,1,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,scripts/clinical_features_v3.py
a_width_p90_dd,clinical_v3,Arterial width / DD. Depends on the unvalidated A/V heuristic; must not be a primary clinical biomarker until expert A/V labels exist.,disc diameters,1,0,1,1,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
v_width_p90_dd,clinical_v3,Venous width / DD. Same A/V caveat.,disc diameters,1,0,1,1,exploratory,exploratory,NaN when disc_valid = 0; never imputed from the image centre,1,0,1,scripts/clinical_features_v3.py
av_width_ratio_p90,clinical_v3,"Arterial/venous width ratio. The disc cancels, so it is defined even without a disc. Same A/V caveat.",ratio,0,0,0,1,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,0,scripts/clinical_features_v3.py
a_tort_median,clinical_v3,Always NaN in the historical table: the column is 100% null. Dead feature.,ratio,0,0,1,1,confirmed_defect,exploratory,not disc dependent; NaN only on extraction failure,0,0,1,scripts/clinical_features_v3.py
v_tort_median,clinical_v3,Always NaN in the historical table: the column is 100% null. Dead feature.,ratio,0,0,1,1,confirmed_defect,exploratory,not disc dependent; NaN only on extraction failure,0,0,1,scripts/clinical_features_v3.py
